University of Florida,134130,FL,30,34,35,42,50,47,48,49,,,,47,49,49,47,50,50,48,,,,49,,,,47,,,,,,,,,,
University of Rochester,195030,NY,34,29,33,34,32,33,33,32,33,35,37,35,35,35,34,34,37,35,36,36,33,32,29,31,30,29,,,,,25,,,,,
University of California-Irvine,110653,CA,35,36,33,42,39,39,42,49,44,45,41,46,44,44,44,40,43,45,45,41,41,49,36,41,37,48,,,,,,,,,,
Georgia Institute of Technology,139755,GA,35,29,35,34,34,36,36,36,36,36,35,35,35,35,38,37,41,37,38,41,35,40,46,41,48,42,,,,,,,,,,
Boston College,164924,MA,35,37,38,32,31,30,31,31,31,31,31,34,34,35,34,40,37,40,40,38,38,39,36,38,38,37,,,,,,,,,,
University of California-San Diego,110680,CA,35,37,41,42,44,39,37,39,38,37,35,35,35,38,38,32,35,32,31,31,31,32,32,33,34,43,,,,,,,,,,
College of William and Mary,231624,VA,39,40,38,32,32,34,33,32,33,33,31,33,32,33,31,31,31,31,30,30,30,29,33,32,33,34,,,,,,,,22,,
University of California-Davis,110644,CA,39,39,38,46,44,41,38,39,38,38,39,42,44,42,47,48,42,43,43,41,41,42,44,41,40,40,,,,,,,,,,
Tulane University,160755,LA,41,40,44,40,39,,,,,50,,50,,50,44,43,43,44,43,46,45,44,36,34,36,38,,,,,,,,,,
Brandeis University,165015,MA,42,40,35,34,34,34,35,32,33,31,34,31,31,31,31,34,32,32,31,34,31,31,31,28,29,30,,,,,,,,,,
Boston University,164988,MA,42,40,42,37,39,41,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Western Reserve University,201645,OH,42,40,42,37,37,37,38,37,37,38,41,41,41,41,38,37,35,37,37,38,38,34,34,37,38,35,,,,,,,,,,
University of Texas-Austin,228778,TX,42,48,49,,,,,,46,45,45,47,47,44,47,,46,,47,48,49,44,,,,,,,,,,,,25,,
University of Wisconsin-Madison,240444,WI,42,46,49,46,44,41,47,41,41,42,45,39,35,38,34,34,32,32,31,32,35,34,36,38,41,32,,,,,,,,23,,13
University of Georgia,139959,GA,47,50,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Illinois-Urbana-Champaign,145637,IL,47,48,46,,44,41,42,41,46,45,47,39,40,38,41,42,37,40,38,36,41,34,42,45,50,45,,,,,,,,20,,8
Northeastern University,167358,MA,49,40,44,40,39,47,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine University,121150,CA,49,50,46,46,50,,,,,,,,,,,,,,47,48,49,,,,,,,,,,,,,,,
Lehigh University,213543,PA,49,50,,46,44,47,40,41,38,38,37,35,35,31,33,32,37,37,40,38,38,34,36,34,32,33,,,,,,,,,,
University of Miami,135726,FL,49,,,46,44,,48,47,44,38,47,50,,,,,,,,,,,,,,,,,,,,,,,,
Rensselaer Polytechnic Institute,194824,NY,,50,49,42,39,41,42,41,41,50,41,42,41,44,42,43,46,48,47,48,49,,49,48,,39,,,,,,,,,,
Villanova University,216597,PA,,46,49,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington University,131469,DC,,,,,,,,,,50,,,,,,,,,,,,,50,,46,,,,,,,,,,,
Pennsylvania State University-University Park,214777,PA,,,,,50,47,48,37,46,45,47,47,47,48,47,48,50,48,45,46,44,40,44,45,,41,,,,,,,,,,
Rutgers University-New Brunswick,186380,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,
Syracuse University,196413,NY,,,,,,,,,,,,,,50,,50,,,,,,,47,40,44,49,,,,,,,,,,
Texas A&M University-College Station,228723,TX,,,,,,,,,,,,,,,,,,,,48,,,,,48,,,,,,,,,,,
University of Washington,236948,WA,,,,,,,48,,46,42,41,42,41,42,42,45,46,45,47,45,45,44,,,42,50,,,,,,,,,,
Worcester Polytechnic Institute,168421,MA,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,
